Engine_RPM,Lub_Oil_Pressure,Fuel_Pressure,Coolant_Pressure,Lub_Oil_Temperature,Coolant_Temperature,Temp_Pressure_Ratio,Coolant_Efficiency,High_RPM_Flag,Engine_Condition
496.0,4.70624017,5.249898286,3.803385471,75.03360653,70.54209474,15.943429111056183,0.05391653714024654,0,0
836.0,3.96002691,4.928546244,3.705357386,74.39501586,84.09830728,18.78649250391079,0.044059833138653394,0,1
623.0,3.055244491,9.494611635,2.08472535,76.86570058,72.92768818,25.158608683012922,0.028586198219453823,0,0
675.0,2.785797256,5.463946609,1.649817197,75.3972787,82.90745278,27.064883683696184,0.019899504105835828,0,1
1412.0,2.816021661,4.001409919,1.921521974,81.59024106749999,71.17692691,29.56156707631234,0.02699641663975852,1,1
414.0,3.928895846,4.468992595,1.740372554,74.46148927,80.17177589,18.952268573321707,0.021708045439680478,0,1
1041.0,2.618464458,6.031471853,3.444127327,75.87409034,74.213489,28.976559184596727,0.04640837364485047,0,1
975.0,5.964634853,4.001450229,2.460978948,80.72766755,80.23123486,13.534385513875481,0.030673576846901345,0,0
1158.0,2.653551652,4.95609747,1.126614558,76.7039353,82.82152323,28.906139905808022,0.013602920038929113,1,0
1357.0,4.045930591,7.247099906,1.827783292,78.38221418,87.12036286,19.37309907252435,0.02097997795230946,1,1
767.0,3.675061993,6.603298744,2.240415747,77.22655708,71.87110652,21.013674661024965,0.03117269032690552,0,0
1179.0,3.308126694,6.162965271,0.736781032,75.67839738,71.43085438,22.876511204138307,0.010314604779615965,1,0
956.0,3.720926295,5.05015851,4.541595924,78.29451725,75.35054442,21.04167377763122,0.06027290126379686,0,1
1057.0,2.237830373,5.631611519,2.505174678,74.52949593,76.76005885,33.30435444492021,0.032636435087881645,0,0
854.0,5.325311975,3.992183491,4.7214003579999995,81.59024106749999,82.20909442,15.37831600560829,0.062268346648453446,0,0
855.0,3.087465037,5.170975444,2.493160236,81.59024106749999,81.37270588,27.930874084907085,0.030638777573362908,0,0
1096.0,2.480398567,5.149975398,0.635378304,81.59024106749999,78.01595898,33.90214592072856,0.008144209368276614,1,1
434.0,4.442972746,7.090542256,1.524269191,75.6209074,83.18831276,17.02034014682655,0.018323117039259443,0,1
822.0,3.310683869,5.627634476,2.058694206,77.85300777,78.11730689,23.515687649608083,0.026353880951105076,0,1
